1199|Utiliza el área real de impresión|Tatsächliche Druckfläche verwenden|Usa l'area reale di stampa
1200|Prepara el diseño con las dimensiones del configurador, en lugar de estimar el área a partir de la imagen general del producto.|Bereiten Sie die Druckvorlage nach den Maßen im Konfigurator vor, statt die Fläche aus dem allgemeinen Produktbild abzuschätzen.|Prepara la grafica per le dimensioni indicate nel configuratore, invece di stimare l'area dall'immagine generale del prodotto.
1201|Revisa la cantidad y el precio final|Menge und Endpreis prüfen|Verifica quantità e prezzo finale
1202|La técnica, el número de colores, la cantidad y la tabla de precios aplicable determinan el coste final de personalización.|Technik, Farbanzahl, Menge und gültige Preistabelle bestimmen die endgültigen Personalisierungskosten.|Tecnica, numero di colori, quantità e tabella prezzi applicabile determinano il costo finale della personalizzazione.
1203|Producto y variante seleccionados|Ausgewähltes Produkt und Variante|Prodotto e variante selezionati
1204|Componente y ubicación disponibles|Verfügbare Komponente und Position|Componente e posizione disponibili
1205|Dimensiones del área de impresión|Maße der Druckfläche|Dimensioni dell'area di stampa
1206|Número de colores|Farbanzahl|Numero di colori
1207|Cantidad y precio final|Menge und Endpreis|Quantità e prezzo finale
1208|Los mejores productos promocionales para empresas: criterios y opciones|Die besten Werbeartikel für Unternehmen: Kriterien und Optionen|I migliori prodotti promozionali per aziende: criteri e opzioni
1209|Los mejores productos promocionales para eventos: criterios y opciones|Die besten Werbeartikel für Veranstaltungen: Kriterien und Optionen|I migliori prodotti promozionali per eventi: criteri e opzioni
1210|Los mejores productos promocionales para congresos: criterios y opciones|Die besten Werbeartikel für Konferenzen: Kriterien und Optionen|I migliori prodotti promozionali per congressi: criteri e opzioni
1211|Los mejores regalos para empleados: utilidad, cultura y reconocimiento|Die besten Mitarbeitergeschenke: Nutzen, Kultur und Anerkennung|I migliori regali per dipendenti: utilità, cultura e riconoscimento
1212|Los mejores productos promocionales sostenibles: criterios de comparación|Die besten nachhaltigen Werbeartikel: Vergleichskriterien|I migliori prodotti promozionali sostenibili: criteri di confronto
1213|Los mejores regalos tecnológicos: utilidad, especificaciones y contexto|Die besten Technikgeschenke: Nutzen, Spezifikationen und Kontext|I migliori regali tecnologici: utilità, specifiche e contesto
1214|Una selección de {0} con criterios claros, basada en el catálogo activo y sin clasificaciones artificiales.|Eine kriterienbasierte Auswahl zu {0}, gestützt auf den aktiven Katalog statt auf künstliche Ranglisten.|Una selezione di {0} guidata da criteri chiari, basata sul catalogo attivo e non su classifiche artificiali.
1215|Selección 360 · Criterios transparentes|360-Auswahl · Transparente Kriterien|Selezione 360 · Criteri trasparenti
1216|No existe un producto promocional universalmente mejor. La opción adecuada depende del destinatario, objetivo, uso real, cantidad, presupuesto, plazo y personalización compatible.|Es gibt keinen universell besten Werbeartikel. Die passende Option hängt von Empfänger, Zweck, tatsächlicher Nutzung, Menge, Budget, Termin und kompatibler Personalisierung ab.|Non esiste un prodotto promozionale universalmente migliore. L'opzione giusta dipende da destinatario, scopo, uso reale, quantità, budget, scadenza e personalizzazione compatibile.
1217|Los productos proceden del catálogo activo mediante términos de búsqueda relevantes. El stock y la visibilidad en el catálogo influyen en el orden, pero no constituyen una clasificación absoluta de calidad.|Die Produkte werden anhand relevanter Suchbegriffe aus dem aktiven Katalog ausgewählt. Bestand und Hervorhebung im Katalog beeinflussen die Reihenfolge, bilden aber keine absolute Qualitätsrangliste.|I prodotti provengono dal catalogo attivo attraverso termini di ricerca pertinenti. Disponibilità e visibilità nel catalogo influenzano l'ordine, ma non costituiscono una classifica assoluta di qualità.
1218|Utilidad probable para el destinatario|Voraussichtlicher Nutzen für den Empfänger|Probabile utilità per il destinatario
1219|Personalización compatible|Kompatible Personalisierung|Personalizzazione compatibile
1220|Stock y disponibilidad actuales|Aktueller Bestand und Verfügbarkeit|Scorte e disponibilità attuali
1221|Adecuación al contexto previsto|Eignung für den vorgesehenen Kontext|Adeguatezza al contesto previsto
1222|Presupuesto, cantidad y plazo de entrega|Budget, Menge und Liefertermin|Budget, quantità e tempi di consegna
1223|¿Es una clasificación absoluta de productos?|Ist dies eine absolute Produktrangliste?|È una classifica assoluta dei prodotti?
1224|No. Es una selección basada en criterios explícitos y datos actuales del catálogo.|Nein. Es handelt sich um eine Auswahl anhand klarer Kriterien und aktueller Katalogdaten.|No. È una selezione basata su criteri espliciti e dati aggiornati del catalogo.
1225|¿Qué debo confirmar antes de comprar?|Was sollte ich vor der Bestellung bestätigen?|Cosa devo confermare prima di ordinare?
1226|Confirma stock, cantidad mínima, precio, variante, materiales, personalización y plazo de entrega.|Bestätigen Sie Bestand, Mindestmenge, Preis, Variante, Materialien, Personalisierung und Lieferzeit.|Conferma disponibilità, quantità minima, prezzo, variante, materiali, personalizzazione e tempi di consegna.
1227|¿Puede cambiar la mejor opción?|Kann sich die beste Option ändern?|L'opzione migliore può cambiare?
1228|Sí. Cambia con el público, objetivo, cantidad, presupuesto, plazo y stock disponible.|Ja. Sie ändert sich mit Zielgruppe, Ziel, Menge, Budget, Termin und verfügbarem Bestand.|Sì. Cambia con pubblico, obiettivo, quantità, budget, scadenza e disponibilità.
1229|Ver la solución empresarial relacionada|Passende Unternehmenslösung ansehen|Vedi la soluzione aziendale correlata
1230|es|de|it
1231|Te damos la bienvenida a 360 Merchandising|Willkommen bei 360 Merchandising|Benvenuto in 360 Merchandising
1232|Te damos la bienvenida a la newsletter de 360 Merchandising|Willkommen beim Newsletter von 360 Merchandising|Benvenuto nella newsletter di 360 Merchandising
1233|SUSCRIPCIÓN CONFIRMADA|ANMELDUNG BESTÄTIGT|ISCRIZIONE CONFERMATA
1234|¡Te damos la bienvenida, {0}!|Willkommen, {0}!|Benvenuto, {0}!
1235|Gracias por unirte a 360 Merchandising.|Vielen Dank, dass Sie bei 360 Merchandising dabei sind.|Grazie per esserti unito a 360 Merchandising.
1236|Recibirás novedades seleccionadas, inspiración y oportunidades útiles para que tu marca llegue más lejos.|Sie erhalten ausgewählte Produktneuheiten, Inspiration und nützliche Möglichkeiten, Ihre Marke weiterzubringen.|Riceverai novità selezionate, ispirazione e opportunità utili per far crescere il tuo marchio.
1237|Has recibido este correo porque te has suscrito a la newsletter de 360 Merchandising.|Sie erhalten diese E-Mail, weil Sie den Newsletter von 360 Merchandising abonniert haben.|Hai ricevuto questa e-mail perché ti sei iscritto alla newsletter di 360 Merchandising.
1238|Para dejar de recibir nuestros correos, responde a este mensaje y solicita la baja.|Wenn Sie keine weiteren E-Mails erhalten möchten, antworten Sie auf diese Nachricht und bitten Sie um Abmeldung.|Per non ricevere più le nostre e-mail, rispondi a questo messaggio e richiedi la cancellazione.
1239|¿Necesitas ayuda para elegir?|Benötigen Sie Hilfe bei der Auswahl?|Hai bisogno di aiuto per scegliere?
1240|360 Smart Merch te ayuda a descubrir productos adecuados para tu marca y objetivo.|360 Smart Merch hilft Ihnen, passende Produkte für Ihre Marke und Ihr Ziel zu finden.|360 Smart Merch ti aiuta a scoprire prodotti adatti al tuo marchio e al tuo obiettivo.
1241|Probar 360 Smart Merch|360 Smart Merch ausprobieren|Prova 360 Smart Merch
1242|CUENTA CONFIRMADA|KONTO BESTÄTIGT|ACCOUNT CONFERMATO
1243|¡Te damos la bienvenida{0}!|Willkommen{0}!|Benvenuto{0}!
1244|, {0}|, {0}|, {0}
1245|Tu cuenta se ha confirmado correctamente.|Ihr Konto wurde erfolgreich bestätigt.|Il tuo account è stato confermato correttamente.
1246|Ya puedes gestionar tus datos, seguir pedidos y consultar tu historial de compras en el área de cliente.|Sie können jetzt Ihre Angaben verwalten, Bestellungen verfolgen und Ihre Kaufhistorie im Kundenbereich einsehen.|Ora puoi gestire i tuoi dati, seguire gli ordini e consultare la cronologia degli acquisti nell'area cliente.
1247|Ir a mi cuenta|Zu meinem Konto|Vai al mio account
1248|Pedido {0} confirmado|Bestellung {0} bestätigt|Ordine {0} confermato
1249|PEDIDO CONFIRMADO|BESTELLUNG BESTÄTIGT|ORDINE CONFERMATO
1250|¡Gracias por tu pedido!|Vielen Dank für Ihre Bestellung!|Grazie per il tuo ordine!
1251|Hemos recibido correctamente el pago del pedido {0}.|Wir haben die Zahlung für Bestellung {0} erfolgreich erhalten.|Abbiamo ricevuto correttamente il pagamento dell'ordine {0}.
1252|Seguimiento disponible para el pedido {0}|Sendungsverfolgung für Bestellung {0} verfügbar|Tracciamento disponibile per l'ordine {0}
1253|PEDIDO ENVIADO|BESTELLUNG VERSENDET|ORDINE SPEDITO
1254|Tu pedido está en camino|Ihre Bestellung ist unterwegs|Il tuo ordine è in viaggio
1255|Ya está disponible la información de seguimiento del pedido {0}.|Die Sendungsverfolgung für Bestellung {0} ist jetzt verfügbar.|Le informazioni di tracciamento dell'ordine {0} sono ora disponibili.
1256|Número de seguimiento|Sendungsnummer|Numero di tracciamento
1257|Seguir pedido|Bestellung verfolgen|Traccia ordine
1258|Actualización del pedido {0}|Aktualisierung zu Bestellung {0}|Aggiornamento dell'ordine {0}
1259|ACTUALIZACIÓN DEL PEDIDO|BESTELLAKTUALISIERUNG|AGGIORNAMENTO DELL'ORDINE
1260|Tu pedido se ha actualizado|Ihre Bestellung wurde aktualisiert|Il tuo ordine è stato aggiornato
1261|El estado actual del pedido {0} es:|Der aktuelle Status von Bestellung {0} lautet:|Lo stato attuale dell'ordine {0} è:
1262|Explora productos personalizables de {0} para empresas, campañas, eventos y equipos. Compara productos, precios por cantidad, stock y opciones de personalización.|Entdecken Sie personalisierbare Produkte der Kategorie {0} für Unternehmen, Kampagnen, Veranstaltungen und Teams. Vergleichen Sie Produkte, Mengenpreise, Bestand und Personalisierungsoptionen.|Esplora prodotti personalizzabili di {0} per aziende, campagne, eventi e team. Confronta prodotti, prezzi per quantità, disponibilità e opzioni di personalizzazione.
1263|Explora productos de {0} para empresas, campañas, eventos, equipos y clientes. Compara materiales, precios por cantidad, stock y personalización disponible.|Entdecken Sie Produkte der Kategorie {0} für Unternehmen, Kampagnen, Veranstaltungen, Teams und Kunden. Vergleichen Sie Materialien, Mengenpreise, Bestand und verfügbare Personalisierung.|Esplora prodotti di {0} per aziende, campagne, eventi, team e clienti. Confronta materiali, prezzi per quantità, disponibilità e personalizzazione disponibile.
1264|Cómo elegir productos de {0}|So wählen Sie Produkte der Kategorie {0}|Come scegliere prodotti di {0}
1265|Empieza por el objetivo, público, cantidad y presupuesto. Después compara materiales, dimensiones, stock y técnicas de personalización para elegir la solución adecuada al uso previsto.|Beginnen Sie mit Ziel, Zielgruppe, Menge und Budget. Vergleichen Sie dann Materialien, Maße, Bestand und Personalisierungstechniken, um die passende Lösung für den Verwendungszweck zu wählen.|Inizia da obiettivo, pubblico, quantità e budget. Poi confronta materiali, dimensioni, disponibilità e tecniche di personalizzazione per scegliere la soluzione adatta all'uso previsto.
1266|Explora {0} en la categoría {1}. Compara productos personalizables, precios por cantidad, stock y opciones de personalización para empresas y eventos.|Entdecken Sie {0} in der Kategorie {1}. Vergleichen Sie personalisierbare Produkte, Mengenpreise, Bestand und Personalisierungsoptionen für Unternehmen und Veranstaltungen.|Esplora {0} nella categoria {1}. Confronta prodotti personalizzabili, prezzi per quantità, disponibilità e opzioni di personalizzazione per aziende ed eventi.
1267|¿Cómo se seleccionan los productos?|Wie werden die Produkte ausgewählt?|Come vengono selezionati i prodotti?
1268|La página busca en el catálogo activo mediante términos y filtros comerciales relacionados con esta necesidad.|Die Seite durchsucht den aktiven Katalog mit Suchbegriffen und Angebotsfiltern zu diesem Bedarf.|La pagina cerca nel catalogo attivo usando termini e filtri commerciali collegati a questa esigenza.
1269|¿Esta selección sustituye a la página del producto?|Ersetzt diese Auswahl die Produktseite?|Questa selezione sostituisce la pagina del prodotto?
1270|No. La página del producto sigue siendo la referencia para stock, cantidad mínima, precio, materiales, variantes y personalización.|Nein. Die Produktseite bleibt maßgeblich für Bestand, Mindestmenge, Preis, Materialien, Varianten und Personalisierung.|No. La pagina del prodotto rimane il riferimento per disponibilità, quantità minima, prezzo, materiali, varianti e personalizzazione.
